# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
81.0000, 74.0000, 0.2907, 0.0000, 0.2247, 0.0000, 0.2279, 0.0000, 0.0072, 0.0088, 1.7057, 1.7632
